date,Total Pasien Isolasi
2021-10-19,398
2021-10-20,376
2021-10-21,363
2021-10-22,339
2021-10-23,332
2021-10-24,322
2021-10-25,334
2021-10-26,343
2021-10-27,240
2021-10-28,245
2021-10-29,238
2021-10-30,226
2021-10-31,202
2021-11-01,207
2021-11-02,239
2021-11-03,215
2021-11-04,224
2021-11-05,200
2021-11-06,200
2021-11-07,203
2021-11-08,216
2021-11-09,205
2021-11-10,195
2021-11-11,211
2021-11-12,195
2021-11-13,185
2021-11-14,172
2021-11-15,186
2021-11-16,183
2021-11-17,177
2021-11-18,198
2021-11-19,195
2021-11-20,196
2021-11-21,185
